original_chinese_name,translated_name,wirescreen_name_en,last_retrieval_date,flags,government_ownership_fraction,historical_shareholders,investments,direct_shareholders,beneficial_owners,customers,suppliers,pdf_link
乌鲁木齐鑫强盛农牧业农民专业合作社,Urumqi Xinqiangsheng Agriculture and Animal Husbandry Farmers Professional Cooperative,,,,,,,,,,,
于田县先拜巴扎镇芦苇湖水产养殖农场,Luwei Lake Aquaculture Farm,,,,,,,,,,,
于田县喀尔克乡胡杨养殖农民专业合作社,Populus euphratica farmers professional cooperative in Karke Township,,,,,,,,,,,
于田县团兔养殖农民专业合作社,Yutian County Tuantu Breeding Farmers Professional Cooperative,,,,,,,,,,,
于田县宝兔养殖农民专业合作社,Yutian County Baotu Breeding Farmers Professional Cooperative,,,,,,,,,,,
于田县新皖水产养殖专业合作社,Yutian County Xinwan Aquaculture Professional Cooperative,,,,,,,,,,,
于田县旺隆养殖农民专业合作社,Yutian County Wanglong Breeding Farmers Professional Cooperative,,,,,,,,,,,
于田县木尕拉镇鱼之乡渔业农家院,Yuzhixiang Fishery Farmhouse,,,,,,,,,,,
于田县民顺丰养殖农民专业合作社,Yutian County Minshunfeng Breeding Farmers Professional Cooperative,,,,,,,,,,,
于田县白杨树养殖农民专业合作社,Yutian County Poplar Breeding Farmers Professional Cooperative,,,,,,,,,,,
于田县知友水产养殖场,Yutian County Zhiyou Aquaculture Farm,,,,,,,,,,,
于田县福兔养殖农民专业合作社,Yutian County Futu Breeding Farmers Professional Cooperative,,,,,,,,,,,
于田县科克亚乡双泉水产养殖场,Shuangquan Aquaculture Farm,,,,,,,,,,,
于田县绿洲水产养殖场（个体工商户）,Yutian County Oasis Aquaculture Farm,,,,,,,,,,,
于田县群有水产养殖有限公司,Yutian County Qunyou Aquaculture Co.,,,,,,,,,,,
于田县金大地养殖农民专业合作社,Yutian County Jin Dadi Breeding Farmers Professional Cooperative,,,,,,,,,,,
于田县银泉养殖农民专业合作社,Yutian County Yinquan Breeding Farmers Professional Cooperative,,,,,,,,,,,
于田县阿热勒乡大洋水产养殖场,Dayang Aquaculture Farm,,,,,,,,,,,
于田县阿热勒乡闲君水产养殖场（个体工商户）,Xianjun Aquaculture Farm,Yingshang County Han Xianjun Aquaculture Farm,"December 19, 2023",,,,,HAN Xianjun:1,HAN Xianjun:1,,,/pdfs/Yingshang County Han Xianjun Aquaculture Farm.pdf
于田县骑士水产养殖场（个体工商户）,Yutian County Knight Aquaculture Farm,,,,,,,,,,,
五家渠天元水产生态养殖有限公司,Wujiaqu Tianyuan Aquatic Ecological Aquaculture Co.,,,,,,,,,,,
五家渠奇台农场珊瑚海养殖服务中心,Wujiaqitai Farm Coral Sea Breeding Service Center,,,,,,,,,,,
五家渠家湖生态养殖有限责任公司,Wujiaqu Jiahu Ecological Breeding Co.,,,,,,,,,,,
五家渠市土墩子农场勤业水产养殖场,Wujiaqu City Tudunzi Farm Qinye Aquaculture Farm,,,,,,,,,,,
五家渠市封红霞水产养殖有限责任公司,Wujiaqu Fenghongxia Aquaculture Co.,,,,,,,,,,,
五家渠市巨能农业科技发展有限公司,Wujiaqu Juneng Agricultural Technology Development Co.,Wujiaqu Juneng Agricultural Technology Development Company Limited,"March 29, 2024",Labor Issues - Agriculture,,,,ZHANG Feng:1,ZHANG Feng:1,,,/pdfs/Wujiaqu Juneng Agricultural Technology Development Company Limited.pdf
五家渠市青湖渔业有限责任公司,Wujiaqu City Qinghu Fisheries Co.,,,,,,,,,,,
五家渠恒迪农业有限责任公司,Wujiaqu Hengdi Agriculture Co.,,,,,,,,,,,
五家渠晨阳养殖农民专业合作社,Wujiaqu Chenyang Breeding Farmers Professional Cooperative,,,,,,,,,,,
五家渠沙湖渔业生态养殖有限公司,Wujiaqu Shahu Fisheries Ecological Breeding Co.,,,,,,,,,,,
五家渠浩泉水产养殖农民专业合作社,Wujiaquhaoquan Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
五家渠海河水产品养殖场,Wujiaqu Haihe Aquatic Products Farm,,,,,,,,,,,
五家渠渔丰水产养殖有限公司,Wujiaqu Yufeng Aquaculture Co.,Wujiaqu Yufeng Aquaculture Company Limited,"December 16, 2024",,,,,GAO Yang:0.83334; LI Shunzhong:0.16667,GAO Yang:0.833; LI Shunzhong:0.167,,,/pdfs/Wujiaqu Yufeng Aquaculture Company Limited.pdf
五家渠渔苑生态有限责任公司,Wujiaqu Yuyuan Ecological Co.,,,,,,,,,,,
五家渠神鱼养殖农民专业合作社,Wujiaqu Divine Fish Breeding Farmers Professional Cooperative,,,,,,,,,,,
伊吾县天山冰川冷水鱼养殖场,Yiwu County Tianshan Glacier Cold Water Fish Farm,,,,,,,,,,,
伊吾县江鑫昌达养殖农民专业合作社,Yiwu County Jiangxinchangda Breeding Farmers Professional Cooperative,,,,,,,,,,,
伊吾县苇子峡疆里疆外生态养殖有限公司,Yiwu County Weizixia Xinjiang Inner and Outer Ecological Breeding Co.,,,,,,,,,,,
伊宁县亮泉水产养殖场,Yining County Liangquan Aquaculture Farm,,,,,,,,,,,
伊宁县全宏祝养鱼场,Yining County Quanhongzhu Fish Farm,,,,,,,,,,,
伊宁县农畔家庭农场,Yining County Nongpan Family Farm,,,,,,,,,,,
伊宁县孟强家庭鱼场,Mengqiang Family Fish Farm in Yining County,,,,,,,,,,,
伊宁县小军养鱼场,Yining County Xiaojun Fish Farm,,,,,,,,,,,
伊宁县小娟养鱼场,Yining County Xiaojuan Fish Farm,,,,,,,,,,,
伊宁县崔金奎养殖场,Yining County Cui Jinkui Breeding Farm,,,,,,,,,,,
伊宁县张长友养鱼场,Yining County Zhang Changyou Fish Farm,,,,,,,,,,,
伊宁县志宝养殖场,Yining County Zhibao Breeding Farm,,,,,,,,,,,
伊宁县振西渔场,Zhenxi Fishing Ground in Yining County,,,,,,,,,,,
伊宁县旺渔鱼虾养殖场,Yining County Wangyu Fish and Shrimp Farm,,,,,,,,,,,
伊宁县春辉渔场,Yining County Chunhui Fishing Ground,,,,,,,,,,,
伊宁县杜永国养殖场,Du Yongguo Breeding Farm in Yining County,,,,,,,,,,,
伊宁县海岛养殖场,Yining County Island Breeding Farm,,,,,,,,,,,
伊宁县清波绿色渔场,Qingbo Green Fishing Ground in Yining County,,,,,,,,,,,
伊宁县渔富乐养殖场,Yining County Yufule Breeding Farm,,,,,,,,,,,
伊宁县渔鲜水产养殖专业合作社,Yining County Fresh Fish and Aquaculture Professional Cooperative,,,,,,,,,,,
伊宁县盛淼鱼业养殖专业合作社,Yining County Shengmiao Fish Breeding Professional Cooperative,Yining County Shengmiao Fish Breeding Professional Cooperative,"July 29, 2023",Labor Issues - Agriculture,,,,WU Xinzhu:0.98; WU Chunliang:0.005; WU Xingang:0.005; YAO Baoke:0.005; WU Qingyuan:0.005,WU Xinzhu:0.98; YAO Baoke:0.005; WU Xingang:0.005; WU Qingyuan:0.005; WU Chunliang:0.005,,,/pdfs/Yining County Shengmiao Fish Breeding Professional Cooperative.pdf
伊宁县绿优家庭农场,Yining County Luyou Family Farm,,,,,,,,,,,
伊宁县英塔木乡天鹅泉水产养殖农民专业合作社,Yining County Yingtamu Township Swan Spring Aquaculture Farmers Professional Cooperative,,,,,,,,,,,
伊宁县英塔木乡韩新林渔场,Han Xinlin Fishing Ground,,,,,,,,,,,
伊宁县荣庆养殖有限公司,Yining County Rongqing Breeding Co.,,,,,,,,,,,
伊宁县西汇盈鳞养殖专业合作社,Yining County Xihui Yinglin Breeding Professional Cooperative,,,,,,,,,,,
伊宁县贾志明养殖场,Yining County Jia Zhiming Breeding Farm,,,,,,,,,,,
伊宁县辰首水产养殖专业合作社,Yining County Chenshou Aquaculture Professional Cooperative,,,,,,,,,,,
伊宁县雅藤鱼场,Yining County Yateng Fish Farm,,,,,,,,,,,
伊宁县鱼灿养鱼场,Yining County Yucan Fish Farm,,,,,,,,,,,
伊宁县鱼爽水产技术服务中心,Yining County Yushuang Aquatic Products Technical Service Center,,,,,,,,,,,
伊宁市广仓渔业养殖农民专业合作社,Yining Guangcang Fishery Farming Farmers Professional Cooperative,,,,,,,,,,,
伊宁市德鑫亿养殖有限责任公司,Yining Dexinyi Breeding Co.,,,,,,,,,,,
