original_chinese_name,translated_name,location_eng,wirescreen_name_en,last_retrieval_date,flags,government_ownership_fraction,historical_shareholders,investments,direct_shareholders,beneficial_owners,customers,suppliers,pdf_link
凌海市大有乡盛兴养殖场,"Shengxing Livestock Farm, Dayou Township, Linghai City",Liaoning,,,,,,,,,,,
绥中县鲜源水产养殖有限公司,"Suizhong Xianyuan Aquaculture Co., Ltd",Liaoning,,,,,,,,,,,
东港市百旭水产养殖有限公司,"Donggang Baixu Aquaculture Co., Ltd",Liaoning,,,,,,,,,,,
丹东龙昇水产有限公司,"Dandong Longsheng Aquatic Products Co., Ltd",Liaoning,,,,,,,,,,,
东港市嘉庆水产发展有限公司,"Donggang Jiaqing Aquatic Products Development Co., Ltd",Liaoning,,,,,,,,,,,
宽甸满族自治县红石镇东江渔场,"Dongjiang Fishing Ground, Hongshi Town, Kuandian Manchu Autonomous County",Liaoning,,,,,,,,,,,
兴城金临湾水产养殖有限公司,"Xingcheng Jinlinwan Aquaculture Co., Ltd",Liaoning,,,,,,,,,,,
大洼意熙水产养殖场,Dawa Yixi Aquaculture Farm,Liaoning,,,,,,,,,,,
大洼胡中会水产养殖家庭农场,Dawa Hu Zhonghui Aquaculture Family Farm,Liaoning,,,,,,,,,,,
长春市净月潭水库管理处,Changchun Jingyuetan Reservoir Management Office,Jilin,Changchun Jingyuetan Reservoir Management Office,"November 20, 2024",,,,,,,,Zhonghong Construction Investment (Jilin) Construction Engineering Company Limited:Other Construction Projects:669500:2023-09-27; Jilin Province Qicheng Construction Engineering Company Limited:Other Construction Projects:1964550.0000000002:2022-12-09; Jilin Chengda Engineering Construction Company Limited:Other Construction Projects:626600:2022-10-10; Jilin Province Dahe Environmental Management Company Limited::1393250:2022-09-09; Pony Testing Group Jilin Company Limited:Reservoir sediment detection project:0:2022-07-27; Kaitian Construction Development Group Company Limited:Water conservancy project construction:1829000:2021-08-26; Jilin Hongtai Engineering Construction Company Limited:Other Construction Projects:1126558:2021-08-23,/pdfs/Changchun Jingyuetan Reservoir Management Office.pdf
长春市吉润农业综合开发有限公司,"Changchun Jirun Agricultural Comprehensive Development Co., Ltd",Jilin,,,,,,,,,,,
镇赉县双合水产养殖有限公司,"Zhenlai County Shuanghe Aquaculture Co., Ltd",Jilin,,,,,,,,,,,
桦南县秋丰水产养殖有限公司,"Huanan County Qiufeng Aquaculture Co., Ltd",Heilongjiang,,,,,,,,,,,
五大连池市龙头网箱渔业养殖有限公司,"Wudalianchi Longtou Net Cage Fishery Aquaculture Co., Ltd",Heilongjiang,,,,,,,,,,,
上海浦东申孙水产养殖有限公司,"Shanghai Pudong Shensun Aquaculture Co., Ltd",Shanghai,Shanghai Pudong Shensun Aquaculture Company Limited,,,,,,,,Shanghai Pudong Shensun Aquaculture Company Limited:Slender-scaled Carp:79000:2021-06-28; Shanghai Pudong Shensun Aquaculture Company Limited:Culter Alba Project:69000:2021-06-28; Shanghai Pudong Shensun Aquaculture Company Limited:Mandarin Fish:149500:2021-06-28; Shanghai Pudong Shensun Aquaculture Company Limited:Aquatic Organisms Enhancement Project:79000:2020-09-25; Shanghai Pudong Shensun Aquaculture Company Limited:Aquatic organism enhancement program:69000:2020-09-25; Shanghai Pudong Shensun Aquaculture Company Limited:Aquatic organisms enhancement project:119200:2020-09-24; Shanghai Pudong Shensun Aquaculture Company Limited:Fishery Services:378000:2019-10-23,,/pdfs/Shanghai Pudong Shensun Aquaculture Company Limited.pdf
上海崇明江口镇养殖场,Shanghai Chongming Jiangkou Town Breeding Farm,Shanghai,,,,,,,,,,,
南京尚园农业生态发展有限公司,"Nanjing Shangyuan Agricultural Ecological Development Co., Ltd",Jiangsu,,,,,,,,,,,
南京龙鲫水产开发有限公司,"Nanjing Longjiu Aquatic Products Development Co., Ltd",Jiangsu,,,,,,,,,,,
南京溧水福保水产养殖有限公司,"Nanjing Lishui Fubao Aquaculture Co., Ltd",Jiangsu,,,,,,,,,,,
常州王者青城生态观光有限公司,"Changzhou Wangwang Qingcheng Ecological Tourism Co., Ltd",Jiangsu,,,,,,,,,,,
启东市永利水产养殖家庭农场,Yongli Aquaculture Family Farm in Qidong City,Jiangsu,,,,,,,,,,,
江苏省沿海开发（东台）有限公司,"Jiangsu Coastal Development (Dongtai) Co., Ltd",Jiangsu,Jiangsu Coastal Development (Dongtai) Company Limited,"January 01, 2025",Government Ownership: 100.0%; Tier 1 customer of Public Company, 100.0%,"""Jiangsu Coast Development Group Company Limited"" (2018: 0.7, 2013-2014: 0.7, 2015-2017: 0.7, 2019-2025: 0.7); ""Yancheng Haixing Group Company Limited"" (2018: 0.1, 2011-2012: 0.2, 2013-2014: 0.2, 2015-2017: 0.1); ""Dongtai State-Owned Assets Management Group Company Limited"" (2018: 0.05, 2013-2014: 0.1, 2015-2017: 0.1)",,Jiangsu Coast Development Group Company Limited:0.7; Yancheng Haixing Group Company Limited:0.2; Dongtai State-Owned Assets Management Group Company Limited:0.1,Jiangsu Provincial People's Government:0.7; Yancheng Municipal People's Government:0.2; Dongtai City Extra-Budgetary Fund Settlement Center:0.06; Dongtai Municipal People's Government:0.04,,"China Design Group Co., Ltd.:Salt-alkali land utilization project::2024-11-29; Sihong County Water Conservancy Engineering Company Limited:Reclamation Area Project:9108021.280000001:2024-05-27; Jiangsu Coastal Ecological Technology Development Company Limited:Soil Improvement Project:6809321.38:2024-05-27; Jiangsu Coastal Ecological Technology Development Company Limited:Soil improvement project for reclamation area:6809321.38:2024-05-20; Sihong County Water Conservancy Engineering Company Limited Jiangsu Water Conservancy General Water Conservancy Construction Company Limited:Land Reclamation Project:9108021.280000001:2024-05-20",/pdfs/Jiangsu Coastal Development (Dongtai) Company Limited.pdf
镇江品牛甲龟鳖养殖场,Zhenjiang Pinniujia Turtle Farm,Jiangsu,,,,,,,,,,,
泗洪富华水产养殖有限公司,"Sihong Fuhua Aquaculture Co., Ltd",Jiangsu,,,,,,,,,,,
武义伟民水产养殖有限公司,"Wuyi Weimin Aquaculture Co., Ltd",Zhejiang,,,,,,,,,,,
江山市志和鳜鱼发展有限公司,"Jiangshan Zhihe Guiyu Development Co.,Ltd.",Zhejiang,,,,,,,,,,,
嵊泗县金义水产品有限责任公司,"Shengsi Jinyi Aquatic Products Co., Ltd",Zhejiang,Shengsi Jinyi Aquatic Products Company Limited,"March 03, 2024",Government Ownership: 100.0%; Tier 1 supplier to Government Entity; Tier 4 supplier to Party Affiliated; Tier 4 supplier to Defense & Security Affiliated Research Universities; Tier 4 supplier to DoD - Problematic Foreign Institutions List; Tier 4 supplier to DOJ - Enforcement; Tier 3 supplier to U.S. Export Restricted - Military End User, 100.0%,"""Shengsi County Haisheng Breed Aquatics Investment Company Limited"" (2019-2022: 1); ""FU Jie"" (2000-2018: 0.24); ""FU Jinkang"" (2000-2018: 0.24)",Shengsi Jinchuang Aquaculture Company Limited:0.18,Shengsi County Shengfeng Marine Industry Investment Company Limited:1,Shengsi County State-Owned Assets Management Committee:0.91; Zhejiang Provincial Department of Finance:0.09,Shengsi Jinyi Aquatic Products Company Limited:Fish fry breeding services:200000:2020-05-15,,/pdfs/Shengsi Jinyi Aquatic Products Company Limited.pdf
兰溪市卧龙源水产养殖有限公司,"Lanxi Wolongyuan Aquaculture Co., Ltd",Zhejiang,,,,,,,,,,,
衢州市晨阳水产养殖有限公司,"Quzhou Chenyang Aquaculture Co., Ltd",Zhejiang,,,,,,,,,,,
舟山市定海盘峙水产养殖场（普通合伙）,Zhoushan Dinghai Panzhi Aquaculture Farm (General Partnership),Zhejiang,Zhoushan Dinghai Panzhi Aquaculture Farm (General Partnership),,Tier 1 supplier to Government Entity; Tier 8 supplier to State Controlled Enterprise; Tier 4 supplier to Party Affiliated; Tier 4 supplier to Defense & Security Affiliated Research Universities; Tier 4 supplier to DoD - Problematic Foreign Institutions List; Tier 4 supplier to DOJ - Enforcement; Tier 3 supplier to U.S. Export Restricted - Military End User,,,,,,Zhoushan Dinghai Panzhi Aquaculture Farm (General Partnership):Aquatic Products:483000:2021-04-29; Zhoushan Dinghai Panzhi Aquaculture Farm (General Partnership):Aquaculture Products Seeds Supply:963000:2019-07-04,,/pdfs/Zhoushan Dinghai Panzhi Aquaculture Farm (General Partnership).pdf
合肥晨欣家庭农场,Hefei Chenxin Family Farm,Anhui,,,,,,,,,,,
肥西县周岗花卉苗木有限责任公司,"Feixi County Zhougang Flower and Nursery Stock Co., Ltd",Anhui,,,,,,,,,,,
太和县旭升水产养殖有限公司,"Taihe County Xusheng Aquaculture Co., Ltd",Anhui,,,,,,,,,,,
颍上县大自然水产养殖专业合作社,Yingshang County Nature Aquaculture Professional Cooperative,Anhui,,,,,,,,,,,
寿县陈楼水产养殖有限公司,"Shouxian Chenlou Aquaculture Co., Ltd",Anhui,,,,,,,,,,,
寿县富源水产养殖有限公司,"Shouxian Fuyuan Aquaculture Co., Ltd",Anhui,,,,,,,,,,,
滁州市南谯区金盛家庭农场,"Jinsheng Family Farm, Nanqiao District, Chuzhou City",Anhui,,,,,,,,,,,
舒城李园水产养殖家庭农场,Shucheng Liyuan Aquaculture Family Farm,Anhui,,,,,,,,,,,
霍邱县陈贵华粮食种植家庭农场,Chen Guihua Grain Planting Family Farm in Huoqiu County,Anhui,,,,,,,,,,,
霍邱县磊宏现代农业科技有限公司,"Huoqiu County Leihong Modern Agricultural Technology Co., Ltd",Anhui,,,,,,,,,,,
南陵县徐永超水产养殖家庭农场,Xu Yongchao Aquaculture Family Farm in Nanling County,Anhui,,,,,,,,,,,
安徽听三农业发展有限公司,"Anhui Tingsan Agricultural Development Co., Ltd",Anhui,,,,,,,,,,,
池州市尹村湖生态农业开发有限公司,"Yincunhu Ecological Agriculture Development Co., Ltd., Chizhou City",Anhui,,,,,,,,,,,
池州市大驾特种水产养殖有限公司,"Chizhou Dajia Special Aquaculture Co., Ltd",Anhui,,,,,,,,,,,
安徽水中宝农业开发有限公司,"Anhui Shuibao Agricultural Development Co., Ltd",Anhui,,,,,,,,,,,
利辛县高方媛家庭农场,Gao Fangyuan Family Farm in Lixin County,Anhui,,,,,,,,,,,
淮南市宗亚水产养殖有限公司,"Huainan Zongya Aquaculture Co., Ltd",Anhui,,,,,,,,,,,
含山县曙光水产养殖场（普通合伙）,Shuguang Aquaculture Farm in Hanshan County (General Partnership),Anhui,,,,,,,,,,,
安庆市西江水产养殖股份有限公司,"Anqing Xijiang Aquaculture Co., Ltd",Anhui,Anqing Xijiang Aquaculture Company Limited,"June 30, 2024",,,"""SUN Hequan"" (2013: 0.48, 2014: 0.48, 2015: 0.48, 2016-2017: 0.48, 2018-2025: 0.5); ""Anqing Supply And Marketing Cooperative Assets Management Company Limited"" (2015: 0.35); ""Anqing Supply And Marketing Society Asset Management Company Limited"" (2014: 0.35, 2016-2017: 0.35); ""GAN Zhaoyun"" (2013: 0.17, 2014: 0.17, 2015: 0.17, 2016-2017: 0.17, 2018-2025: 0.2); ""ZHU Zhihua"" (2018-2025: 0.3)",Anqing Jinjia Agricultural Development Company Limited:0.6; Anqing Gujia Aquaculture Professional Cooperative:,SUN Hequan:0.5; ZHU Zhihua:0.3; GAN Zhaoyun:0.2,SUN Hequan:0.5; ZHU Zhihua:0.3; GAN Zhaoyun:0.2,,,/pdfs/Anqing Xijiang Aquaculture Company Limited.pdf
太湖县兴宇水产养殖有限公司,"The Taihu Lake Xingyu Aquaculture Co., Ltd",Anhui,,,,,,,,,,,
安庆市胡院英家庭农场,"Huyuanying Family Farm, Anqing City",Anhui,,,,,,,,,,,
江西省章江水产有限公司,"Jiangxi Zhangjiang Aquatic Products Co., Ltd",Jiangxi,,,,,,,,,,,
都昌县华瑞农佳科技有限公司,"Duchang County Huarui Nongjia Technology Co., Ltd",Jiangxi,,,,,,,,,,,
瑞昌市窑泊湖美法养殖场,Yaobo Lake Meifa Farm in Ruichang City,Jiangxi,,,,,,,,,,,
南昌乡野生态农业有限公司,"Nanchang Rural Ecological Agriculture Co., Ltd",Jiangxi,,,,,,,,,,,
万年县湖云吉发鱼苗繁殖场,Wannian County Huyun Jifa Fish Seedling Breeding Farm,Jiangxi,,,,,,,,,,,
万年县港渔养殖有限公司,"Wannian County Port Fishery and Aquaculture Co., Ltd",Jiangxi,,,,,,,,,,,
万年县亮君家庭农场,Liangjun Family Farm in Wannian County,Jiangxi,,,,,,,,,,,
寻乌县斗晏水产养殖基地,Douyan Aquaculture Base in Xunwu County,Jiangxi,,,,,,,,,,,
瑞昌市邱家生态养殖有限公司,"Ruichang Qiujia Ecological Breeding Co., Ltd",Jiangxi,,,,,,,,,,,
瑞昌市铜岭农庄有限公司,"Ruichang Tongling Town co.,Ltd",Jiangxi,,,,,,,,,,,
九江昊源生态农业发展有限责任公司,"Jiujiang Haoyuan Ecological Agriculture Development Co., Ltd",Jiangxi,,,,,,,,,,,
江西省丰海农业开发有限公司,"Jiangxi Fenghai Agricultural Development Co., Ltd",Jiangxi,,,,,,,,,,,
江西青墅生态水产养殖有限公司,"Jiangxi Qingshu Ecological Aquaculture Co., Ltd",Jiangxi,,,,,,,,,,,
南昌县扬帆休闲农庄有限公司,"Nanchang Yangfan Leisure Farm Co., Ltd",Jiangxi,,,,,,,,,,,
枣庄市涛沟河湿地旅游发展有限公司,"Zaozhuang Taogouhe Wetland Tourism Development Co., Ltd",Shandong,,,,,,,,,,,
山东黄河三角洲海洋科技有限公司,"Shandong Yellow River Delta Marine Technology Co., Ltd",Shandong,Package B Shandong Yellow River Delta Marine Technology Company Limited,,,,,,,,Package B Shandong Yellow River Delta Marine Technology Company Limited:Marine fish fry:900000:2021-09-26,,/pdfs/Package B Shandong Yellow River Delta Marine Technology Company Limited.pdf
东营市宏森家庭农场有限公司,"Dongying Hongsen Family Farm Co., Ltd",Shandong,,,,,,,,,,,
华信食品（山东）集团有限公司,"RUSHAN HUAXIN FOODSTUFFS CO.,LTD.",Shandong,,,,,,,,,,,
日照宝祥水产有限公司,"Rizhao Baoxiang Aquatic Products Co., Ltd",Shandong,,,,,,,,,,,
日照盛基水产开发有限公司,"Rizhao Shengji Aquatic Products Development Co., Ltd",Shandong,,,,,,,,,,,
日照八丰渔业有限公司,"Rizhao Bafeng Fishery Co., Ltd",Shandong,,,,,,,,,,,
陵县华奥农场,Ling County Huaao Farm,Shandong,,,,,,,,,,,
山东多彩渔业科技有限公司,"Shandong Colorful Fishery Technology Co., Ltd",Shandong,Shandong Colorful Fishery Technology Company Limited,"February 23, 2024",,,"""WANG Lihui"" (2015-2025: 1)",,WANG Lihui:1,WANG Lihui:1,,,/pdfs/Shandong Colorful Fishery Technology Company Limited.pdf
寿光市祥润水产养殖场,Shouguang Xiangrun Aquaculture Farm,Shandong,,,,,,,,,,,
山东科合海洋高技术有限公司,"Shandong Kehe Marine High Technology Co., Ltd",Shandong,Shandong Kehe Marine High Technology Company Limited,"August 21, 2024",Government Ownership: 100.0%; Government Guidance Funds Ownership: 75.0%, 100.0%,"""SHANDONG GUOHUI ASSET MANAGEMENT CO.,LTD."" (2019: 0.83334, 2020: 0.83334); ""Shandong Marine Technology Development Center"" (2016: 0.35, 2017: 0.48, 2018: 0.35); ""Weihai Ocean Technology Development Center"" (2016: 0.13, 2017: 0.13, 2018: 0.13, 2019: 0.13); ""Rushan Hi-Tech Venture Service Center"" (2016: 0.04, 2017: 0.04, 2018: 0.04, 2019: 0.04)",Rushan Sibo Marine Biological Technology Company Limited:1,Shandong Salt Industry Group Company Limited:0.83334; Weihai Ocean Technology Development Center:0.125; Rushan Hi-Tech Venture Service Center:0.04167,Shandong Provincial State-owned Assets Supervision and Administration Commission:0.75; Weihai Ocean Technology Development Center:0.125; Shandong Provincial Department of Finance:0.083; Rushan Hi-Tech Venture Service Center:0.042,,,/pdfs/Shandong Kehe Marine High Technology Company Limited.pdf
河南水投华锐水产有限公司,"Henan Water Investment Huarui Aquatic Products Co., Ltd",Henan,,,,,,,,,,,
济源市宏基鲟鲵养殖有限公司,"Jiyuan Hongji Sturgeon and Salamander Breeding Co., Ltd",Henan,,,,,,,,,,,
河南省恒松农业开发有限公司,"Henan Hengsong Agricultural Development Co., Ltd",Henan,Henan Hengsong Agricultural Development Company Limited,"October 08, 2024",,,,Henan Gongxiao Technology Group Company Limited:0.01,JIANG Xiangzhuo:1,JIANG Xiangzhuo:1,,,/pdfs/Henan Hengsong Agricultural Development Company Limited.pdf
渑池县青莲河水产养殖有限公司,"Qinglian River Aquaculture Co., Ltd. in Mianchi County",Henan,,,,,,,,,,,
襄阳市伊佳美家庭农场,Yijiamei Family Farm in Xiangyang City,Hubei,,,,,,,,,,,
襄阳市青龙堰养殖有限公司,"Xiangyang Qinglongyan Breeding Co., Ltd",Hubei,,,,,,,,,,,
湖北鑫运农业开发有限公司,"Hubei Xinyun Agricultural Development Co., Ltd",Hubei,,,,,,,,,,,
钟祥市温峡口水库管理处,"Wenxiakou Reservoir Management Office, Zhongxiang City",Hubei,,,,,,,,,,,
大冶市腾远水产养殖有限公司,"Daye Tengyuan Aquaculture Co., Ltd",Hubei,,,,,,,,,,,
公安县永兴家庭农场,Yongxing Family Farm in Gong'an County,Hubei,,,,,,,,,,,
湖北省三军黄鳝养殖有限公司,"Hubei Tri Service Eel Farming Co., Ltd",Hubei,,,,,,,,,,,
荆州市三中渔场,Jingzhou Sanzhong Fishing Ground,Hubei,,,,,,,,,,,
湖北清江龙井湾生态渔业发展有限公司,"Hubei Qingjiang Longjing Bay Ecological Fishery Development Co., Ltd",Hubei,,,,,,,,,,,
云梦北湖垸水产开发有限公司,"Yunmeng Beihuyuan Aquatic Development Co., Ltd",Hubei,,,,,,,,,,,
赤壁市兴渔鱼种场,Xingyu Fish Farm in Chibi City,Hubei,,,,,,,,,,,
长沙湘水湾养殖有限公司,"Changsha Xiangshuiwan Aquaculture Co., Ltd",Hunan,,,,,,,,,,,
长沙市利泽农业科技有限公司,"Changsha Lize Agricultural Technology Co., Ltd",Hunan,,,,,,,,,,,
长沙湘实观赏鱼科技有限公司,"Changsha Xiangshi Ornamental Fish Technology Co., Ltd",Hunan,,,,,,,,,,,
株洲市湘庄乡村事业开发有限公司,"Zhuzhou Xiangzhuang Rural Development Co., Ltd",Hunan,,,,,,,,,,,
洞口抚军台鳅养殖有限公司,"Dongkou Fujun Tai Loach Breeding Co., Ltd",Hunan,,,,,,,,,,,
资兴市东江鳟鱼庄冷水鱼养殖有限责任公司,"Zixing Dongjiang Trout Village Cold Water Fish Farming Co., Ltd",Hunan,,,,,,,,,,,
常德市武陵区和野达水产养殖场,Changde City Wuling District and Yeda Aquaculture Farm,Hunan,,,,,,,,,,,
汉寿县坡头镇群英渔场有限公司,"Qunying Fishing Ground Co., Ltd., Potou Town, Hanshou County",Hunan,,,,,,,,,,,
常德家华水产科技有限公司,"Changde Jiahua Aquatic Technology Co., Ltd",Hunan,,,,,,,,,,,
沅江市南大膳镇高丰渔村堵堤渔场,"Gaofeng Fishing Village, Nandashan Town, Yuanjiang City, Dadi Fishing Ground",Hunan,,,,,,,,,,,
东莞市胜田生态农业科技有限公司,"Dongguan Shengtian Ecological Agriculture Technology Co., Ltd",Guangdong,,,,,,,,,,,
梅州市思丰水产养殖发展有限公司,"Meizhou Sifeng Aquaculture Development Co., Ltd",Guangdong,,,,,,,,,,,
河源市万玉湖水产有限公司,"Wanyuhu Aquatic Products Co., Ltd., Heyuan City",Guangdong,,,,,,,,,,,
和平县千担坝淡水鱼养殖有限公司,"Heping County Qiandanba Freshwater Fish Farming Co., Ltd",Guangdong,,,,,,,,,,,
广东胜博生物科技有限公司,"Guangdong shengbo bio-technology co.,LTD",Guangdong,,,,,,,,,,,
中山衍生水产养殖有限公司,"Zhongshan Derivative Aquaculture Co., Ltd",Guangdong,,,,,,,,,,,
台山市久慎水产有限公司,"Taishan Jiushen Aquatic Products Co.,Ltd.",Guangdong,,,,,,,,,,,
佛山市兄弟渔业有限公司,"Foshan Brothers Fishery Co., Ltd",Guangdong,,,,,,,,,,,
佛山市南海区和记鱼苗有限公司,"Heji Fish Sprout Co., Ltd., Nanhai District, Foshan City",Guangdong,,,,,,,,,,,
梅州市晨丰水产养殖有限公司,"Meizhou Chenfeng Aquaculture Co., Ltd",Guangdong,,,,,,,,,,,
梅州好自然农业有限公司,"Meizhou Good Natural Agriculture Co., Ltd",Guangdong,,,,,,,,,,,
梅州市绿林湾水产养殖有限公司,"Meizhou Lvlinwan Aquaculture Co., Ltd",Guangdong,,,,,,,,,,,
东源县田原风光农业发展有限公司,"Dongyuan County Tianyuan Fengguang Agriculture Development Co., Ltd",Guangdong,,,,,,,,,,,
陆川县王沙水产养殖有限公司,"Luchuan County Wangsha Aquaculture Co., Ltd",Guangxi,,,,,,,,,,,
陆川县良田镇富奎养殖场,"Fukui Livestock Farm, Liangtian Town, Luchuan County",Guangxi,,,,,,,,,,,
广西陆川兴泰农牧科技有限公司,"Guangxi Luchuan Xingtai Agriculture and Animal Husbandry Technology Co., Ltd",Guangxi,,,,,,,,,,,
玉林市福绵区顺流塘农牧有限公司,"Shunliu Tang Agriculture and Animal Husbandry Co., Ltd., Fumian District, Yulin City",Guangxi,,,,,,,,,,,
广西红龙生态农业科技有限公司,"Guangxi Honglong Ecological Agriculture Technology Co., Ltd",Guangxi,,,,,,,,,,,
东兰县洲洛生态渔业有限公司,"Donglan County Zhouluo Ecological Fishery Co., Ltd",Guangxi,,,,,,,,,,,
临桂义江冷水鱼养殖专业合作社,LinGui YiRiver Cold Water Fish Farming Professional Cooperative,Guangxi,,,,,,,,,,,
海南青利水产繁殖有限公司,"Hainan Qingli Aquatic Breeding Co., Ltd",Hainan,,,,,,,,,,,
海南金掌农业开发有限公司,"Hainan Jinzhang Agricultural Development Co., Ltd",Hainan,,,,,,,,,,,
重庆富辰荟源农业有限公司,"Chongqing Fuchen Huiyuan Agriculture Co., Ltd",Chongqing,,,,,,,,,,,
重庆市万州区林渔园农业发展有限公司,"Chongqing Wanzhou District Linyuyuan Agricultural Development Co., Ltd",Chongqing,,,,,,,,,,,
重庆市铜梁区汶沂农业有限公司,"Wenyi Agriculture Co., Ltd., Tongliang District, Chongqing City",Chongqing,,,,,,,,,,,
重庆彭戚水产品有限公司,"Chongqing Pengqi Aquatic Products Co., Ltd",Chongqing,,,,,,,,,,,
重庆夏东生态农业科技有限公司,"Chongqing Xiadong Ecological Agriculture Technology Co., Ltd",Chongqing,,,,,,,,,,,
重庆森湖农业有限公司,"Chongqing Senhu Agriculture Co., Ltd",Chongqing,,,,,,,,,,,
重庆乐康荷渔生态农业开发有限公司,"Chongqing Lekang Heyu Ecological Agriculture Development Co., Ltd",Chongqing,,,,,,,,,,,
重庆容钦生态农业有限公司,"Chongqing Rongqin Ecological Agriculture Co., Ltd",Chongqing,,,,,,,,,,,
邛崃市鸿瑞渔业有限公司,"Qionglai Hongrui Fishery Co., Ltd",Sichuan,,,,,,,,,,,
邛崃市鑫鸿养殖有限公司,"Qionglai Xinhong Breeding Co., Ltd",Sichuan,,,,,,,,,,,
富顺县嘉泉种养殖家庭农场,Jiaquan Breeding Family Farm in Fushun County,Sichuan,,,,,,,,,,,
自贡市群富泥鳅养殖专业合作社,Zigong Qunfu Loach Breeding Professional Cooperative,Sichuan,,,,,,,,,,,
自贡市果色天香家庭农场,Guose Tianxiang Family Farm in Zigong City,Sichuan,,,,,,,,,,,
自贡市龙骨山农业有限公司,"Zigong Longgushan Agriculture Co., Ltd",Sichuan,,,,,,,,,,,
合江万发渔业有限公司,"Hejiang Wanfa Fishery Co., Ltd",Sichuan,,,,,,,,,,,
合江荔城龙檀园旅游文化有限公司,"Hejiang Licheng Longtanyuan Tourism and Culture Co., Ltd",Sichuan,,,,,,,,,,,
泸州长隆生农业开发有限公司,"Luzhou Changlongsheng Agricultural Development Co., Ltd",Sichuan,,,,,,,,,,,
四川圭远农业科技有限公司,"Sichuan Guiyuan Agricultural Technology Co., Ltd",Sichuan,,,,,,,,,,,
中江峰华家庭农场,Zhongjiang Fenghua Family Farm,Sichuan,,,,,,,,,,,
什邡市啼鸣水产养殖专业合作社,Shifang City Timing Aquaculture Professional Cooperative,Sichuan,,,,,,,,,,,
盐亭县黄甸井盐家庭农场,Huangdian Well Salt Family Farm in Yanting County,Sichuan,,,,,,,,,,,
广元浩翔农业开发有限公司,"Guangyuan Haoxiang Agricultural Development Co., Ltd",Sichuan,,,,,,,,,,,
遂宁市金春养鱼场,Jinchun Fish Farm in Suining City,Sichuan,,,,,,,,,,,
四川顶昊农业有限公司,"Sichuan Dinghao Agriculture Co., Ltd",Sichuan,,,,,,,,,,,
资中县鸿吉源农业科技有限公司,"Zizhong County Hongjiyuan Agricultural Technology Co., Ltd",Sichuan,,,,,,,,,,,
隆昌佳怡农业开发有限公司,"Longchang Jiayi Agricultural Development Co., Ltd",Sichuan,,,,,,,,,,,
眉山伟继水产种业科技有限公司,"Meishan Weiji Aquatic Seed Industry Technology Co., Ltd",Sichuan,,,,,,,,,,,
